ticker,etf,bear
SKLZ,0,0
LIN,0,0
GOOG,0,0
SBUX,0,0
ADBE,0,0
V,0,0
CSCO,0,0
MSFT,0,0
SPXL,1,0
SPXS,1,1
NUGT,1,0
SOXS,1,1
LABU,1,0
TNA,1,0
TECL,1,0
YINN,1,0
TZA,1,0
FAS,1,0
GUSH,1,0
WEBL,1,0
LABD,1,1
ERX,1,0
TMF,1,0
DRV,1,1
JNUG,1,0
FAZ,1,1
YANG,1,1
SCHD,1,0
AMZN,0,0
HD,0,0
NAIL,0,0
CVX,0,0
PFE,0,0
PEP,0,0
MCD,0,0
DIS,0,0
VZ,0,0
CRM,0,0
CVS,0,0
CAT,0,0
INTU,0,0
EURL,1,0
EDZ,1,1
EDC,1,0
KORU,1,0
MIDU,1,0
DFEN,1,0
WANT,1,0
WEBS,1,1
JEPI,1,0
TIP,1,0
OIL,1,0
ROCC,0,0
GS,0,0
AUY,0,0
VGK,1,0
TSLA,0,0
AAPL,0,0
AMZN,0,0
AMD,0,0
NVDA,0,0
F,0,0
CCL,0,0
BAC,0,0
T,0,0
WBD,0,0
INTC,0,0
META,0,0
GOOG,0,0
XOM,0,0
MSFT,0,0
VZ,0,0
PFE,0,0
KMI,0,0
AAL,0,0
CMCSA,0,0
SLB,0,0
WFC,0,0
LUMN,0,0
NFLX,0,0
HBAN,0,0
C,0,0
CTRA,0,0
CSCO,0,0
DVN,0,0
PARA,0,0
KO,0,0
HAL,0,0
OXY,0,0
PYPL,0,0
NCLH,0,0
MRO,0,0
CVX,0,0
TFC,0,0
FCX,0,0
CSX,0,0
HPE,0,0
DIS,0,0
FIS,0,0
AMCR,0,0
MU,0,0
CRM,0,0
MRK,0,0
WMT,0,0
NEM,0,0
USB,0,0
GM,0,0
BMY,0,0
VICI,0,0
ATVI,0,0
GILD,0,0
D,0,0
BKR,0,0
SBUX,0,0
BSX,0,0
KEY,0,0
JPM,0,0
WBA,0,0
APA,0,0
TJX,0,0
ORCL,0,0
MS,0,0
CTSH,0,0
COP,0,0
KDP,0,0
VFC,0,0
BA,0,0
MDT,0,0
EW,0,0
MO,0,0
QCOM,0,0
DAL,0,0
UAL,0,0
WMB,0,0
NKE,0,0
MTCH,0,0
KHC,0,0
TMUS,0,0
VTRS,0,0
GE,0,0
ABT,0,0
EXC,0,0
MPC,0,0
LNC,0,0
HPQ,0,0
WDC,0,0
PG,0,0
VLO,0,0
LUV,0,0
RF,0,0
AIG,0,0
SCHW,0,0
NWL,0,0
GLW,0,0
KR,0,0
AMAT,0,0
V,0,0
ABBV,0,0
MDLZ,0,0
PM,0,0
BAX,0,0
BBWI,0,0
MET,0,0
FITB,0,0
O,0,0
NEE,0,0
BK,0,0
CVS,0,0
NRG,0,0
IVZ,0,0
JNJ,0,0
EOG,0,0
EBAY,0,0
COST,0,0
LVS,0,0
MGM,0,0
NI,0,0
TXN,0,0
SYF,0,0
CAH,0,0
AES,0,0
DOW,0,0
XEL,0,0
HST,0,0
AVGO,0,0
PPL,0,0
HD,0,0
FTNT,0,0
ON,0,0
SO,0,0
CPB,0,0
UPS,0,0
MRNA,0,0
KIM,0,0
DXCM,0,0
CFG,0,0
FE,0,0
MCHP,0,0
PSX,0,0
LOW,0,0
CNP,0,0
HWM,0,0
ETSY,0,0
BRK.B,0,0
ZTS,0,0
NTAP,0,0
JCI,0,0
JNPR,0,0
PCAR,0,0
CTLT,0,0
RTX,0,0
IBM,0,0
GIS,0,0
FANG,0,0
WELL,0,0
TGT,0,0
ABC,0,0
PEAK,0,0
PEP,0,0
LLY,0,0
EVRG,0,0
NDAQ,0,0
CARR,0,0
PXD,0,0
UNH,0,0
TPR,0,0
FAST,0,0
APTV,0,0
EMR,0,0
AEP,0,0
PLD,0,0
MOS,0,0
K,0,0
DISH,0,0
STX,0,0
CME,0,0
EL,0,0
BBY,0,0
STT,0,0
ENPH,0,0
VNO,0,0
MMM,0,0
CAG,0,0
IR,0,0
CCI,0,0
CZR,0,0
CL,0,0
ADI,0,0
TSN,0,0
KMB,0,0
ADM,0,0
CMS,0,0
LEN,0,0
EXPE,0,0
DHI,0,0
AMGN,0,0
PENN,0,0
CAT,0,0
DLTR,0,0
HON,0,0
MA,0,0
WY,0,0
ICE,0,0
OGN,0,0
ISRG,0,0
CTVA,0,0
FBHS,0,0
IFF,0,0
ROST,0,0
HES,0,0
GPN,0,0
PEG,0,0
ATO,0,0
RCL,0,0
DUK,0,0
EA,0,0
OKE,0,0
WYNN,0,0
NXPI,0,0
HRL,0,0
ADBE,0,0
COF,0,0
ADP,0,0
CNC,0,0
VTR,0,0
BEN,0,0
UNP,0,0
ANET,0,0
ROL,0,0
YUM,0,0
FTV,0,0
SWK,0,0
IPG,0,0
SWKS,0,0
IP,0,0
TRMB,0,0
TER,0,0
CPRT,0,0
PNC,0,0
SYY,0,0
CHD,0,0
TXT,0,0
ACN,0,0
DD,0,0
AXP,0,0
MCD,0,0
TTWO,0,0
AFL,0,0
EQR,0,0
WM,0,0
NWSA,0,0
FISV,0,0
FOXA,0,0
AMT,0,0
DHR,0,0
BXP,0,0
PAYX,0,0
PRU,0,0
KEYS,0,0
ED,0,0
EIX,0,0
MTB,0,0
FDX,0,0
TROW,0,0
GS,0,0
DTE,0,0
ZBH,0,0
DFS,0,0
SPGI,0,0
UDR,0,0
HLT,0,0
MMC,0,0
BALL,0,0
PVH,0,0
EXPD,0,0
PFG,0,0
LW,0,0
HAS,0,0
APH,0,0
MNST,0,0
WEC,0,0
CF,0,0
OTIS,0,0
SEE,0,0
DG,0,0
CB,0,0
GNRC,0,0
ECL,0,0
DLR,0,0
CDNS,0,0
DE,0,0
KLAC,0,0
CEG,0,0
CI,0,0
LIN,0,0
AAPL,0,0